iter	k	algo	totaltime	relerr
11	64	2	3.48564	0.092356
12	64	2	3.76421	0.0918169
13	64	2	4.04817	0.0913286
14	64	2	4.35192	0.0908838
15	64	2	4.63307	0.0904955
16	64	2	4.91209	0.0901621
17	64	2	5.19601	0.0898847
18	64	2	5.47708	0.0896514
19	64	2	5.75529	0.0894647
20	64	2	6.03656	0.0893177
21	64	2	6.31404	0.0892064
22	64	2	6.59915	0.089122
23	64	2	6.88681	0.0890531
24	64	2	7.16541	0.0889955
25	64	2	7.44067	0.0889465
26	64	2	7.73043	0.0889022
27	64	2	8.00658	0.0888528
28	64	2	8.32433	0.0887965
29	64	2	8.60585	0.0887268
0	64	4	0.417529	0.157065
1	64	4	0.713414	0.0970223
2	64	4	1.02884	0.0885704
3	64	4	1.31911	0.0862402
4	64	4	1.61691	0.08524
5	64	4	1.9193	0.0847001
6	64	4	2.21832	0.0843713
7	64	4	2.51108	0.0841561
8	64	4	2.81932	0.0840045
9	64	4	3.11688	0.0838909
10	64	4	3.42902	0.0838024
11	64	4	3.72009	0.0837312
12	64	4	4.01122	0.0836727
13	64	4	4.30146	0.0836237
14	64	4	4.59827	0.0835819
15	64	4	4.8925	0.083546
16	64	4	5.2009	0.0835146
17	64	4	5.4939	0.0834866
18	64	4	5.80793	0.0834612
19	64	4	6.10196	0.0834382
20	64	4	6.39723	0.0834173
21	64	4	6.68922	0.0833984
22	64	4	6.98666	0.0833813
23	64	4	7.28144	0.0833656
24	64	4	7.60063	0.0833512
25	64	4	7.89206	0.083338
26	64	4	8.21576	0.0833259
27	64	4	8.50457	0.0833147
28	64	4	8.79493	0.0833044
29	64	4	9.0816	0.0832949
0	64	5	0.690757	0.148256
1	64	5	1.51747	0.0925942
2	64	5	2.26887	0.0855109
3	64	5	2.99378	0.0835707
4	64	5	3.73113	0.0827014
5	64	5	4.46708	0.0821913
6	64	5	5.19098	0.0818524
7	64	5	5.99402	0.0816123
8	64	5	6.85328	0.0814338
9	64	5	7.72102	0.0812955
10	64	5	8.55248	0.0811848
11	64	5	9.44385	0.0810936
12	64	5	10.2318	0.0810168
13	64	5	11.0659	0.0809507
14	64	5	11.8752	0.0808933
15	64	5	12.6418	0.0808428
16	64	5	13.4726	0.0807982
17	64	5	14.2796	0.0807586
18	64	5	15.0591	0.0807234
19	64	5	15.8689	0.0806918
20	64	5	16.7122	0.0806634
21	64	5	17.4789	0.0806378
22	64	5	18.3233	0.0806145
23	64	5	19.1305	0.0805934
24	64	5	19.8813	0.0805739
25	64	5	20.69	0.0805561
26	64	5	21.4833	0.0805396
27	64	5	22.3467	0.0805242
28	64	5	23.1538	0.0805099
29	64	5	23.9762	0.0804966
0	64	6	0.362178	0.305023
1	64	6	0.646234	0.287689
2	64	6	0.931732	0.281493
3	64	6	1.21543	0.279664
4	64	6	1.4975	0.279212
5	64	6	1.77647	0.278826
6	64	6	2.05025	0.280116
7	64	6	2.32573	0.277627
8	64	6	2.60157	0.276081
9	64	6	2.87952	0.27555
10	64	6	3.15702	0.275458
11	64	6	3.43355	0.27569
12	64	6	3.70984	0.275707
13	64	6	3.98509	0.275404
14	64	6	4.2675	0.274972
15	64	6	4.53949	0.274736
16	64	6	4.82243	0.274656
17	64	6	5.10346	0.27458
18	64	6	5.38025	0.274506
19	64	6	5.65849	0.274438
20	64	6	5.9692	0.274389
21	64	6	6.24638	0.27434
22	64	6	6.52805	0.2743
23	64	6	6.80513	0.274264
24	64	6	7.08213	0.274262
25	64	6	7.35835	0.274262
26	64	6	7.64252	0.274261
27	64	6	7.91868	0.274261
28	64	6	8.19693	0.274261
29	64	6	8.47943	0.274262
0	96	0	0.385131	0.218952
1	96	0	0.672936	0.216633
2	96	0	0.967449	0.215535
3	96	0	1.2757	0.214525
4	96	0	1.56411	0.21359
5	96	0	1.85767	0.212718
6	96	0	2.15489	0.211897
7	96	0	2.4509	0.211119
8	96	0	2.74089	0.210373
9	96	0	3.03202	0.209652
10	96	0	3.32679	0.208947
11	96	0	3.62115	0.208249
12	96	0	3.91672	0.207548
13	96	0	4.21017	0.206835
14	96	0	4.5042	0.206099
15	96	0	4.79611	0.205328
16	96	0	5.08459	0.204509
17	96	0	5.37439	0.203628
18	96	0	5.66768	0.202671
19	96	0	5.95945	0.20162
20	96	0	6.24635	0.200459
21	96	0	6.54137	0.199174
22	96	0	6.83579	0.197748
23	96	0	7.13077	0.196172
24	96	0	7.42387	0.194439
25	96	0	7.71688	0.192548
26	96	0	8.01051	0.190509
27	96	0	8.30352	0.188338
28	96	0	8.5948	0.186057
29	96	0	8.88692	0.183698
0	96	1	0.429191	0.338681
1	96	1	0.734968	0.329342
2	96	1	1.0467	0.325841
3	96	1	1.35461	0.325381
4	96	1	1.65404	0.325339
5	96	1	1.96271	0.325211
6	96	1	2.29326	0.324848
7	96	1	2.59965	0.324639
8	96	1	2.93869	0.324667
9	96	1	3.25118	0.324699
10	96	1	3.56494	0.3247
11	96	1	3.90318	0.324679
12	96	1	4.21117	0.324685
13	96	1	4.54702	0.324696
14	96	1	4.84755	0.324703
15	96	1	5.17636	0.324678
16	96	1	5.4802	0.324631
17	96	1	5.782	0.324616
18	96	1	6.10845	0.324628
19	96	1	6.41185	0.324665
20	96	1	6.7207	0.324702
21	96	1	7.03322	0.324711
22	96	1	7.36429	0.324672
23	96	1	7.6806	0.324656
24	96	1	7.97961	0.32466
25	96	1	8.28451	0.324654
