iter k algo time relerr 
9 96 1 7.00234 0.527403
10 96 1 7.68898 0.527369
11 96 1 8.3773 0.527344
12 96 1 9.07024 0.527328
13 96 1 9.75866 0.527314
14 96 1 10.4522 0.527302
15 96 1 11.143 0.527289
16 96 1 11.8352 0.527278
17 96 1 12.5197 0.527268
18 96 1 13.2124 0.527258
19 96 1 13.911 0.527249
20 96 1 14.6001 0.52724
21 96 1 15.2878 0.527231
22 96 1 15.974 0.527223
23 96 1 16.6732 0.527218
24 96 1 17.3678 0.527213
25 96 1 18.0585 0.527208
26 96 1 18.7463 0.527202
27 96 1 19.4323 0.527197
28 96 1 20.1197 0.527192
29 96 1 20.8038 0.527188
0 96 2 0.727279 0.552499
1 96 2 1.41099 0.54972
2 96 2 2.09547 0.541038
3 96 2 2.78016 0.534636
4 96 2 3.46345 0.531451
5 96 2 4.15144 0.529276
6 96 2 4.83629 0.527737
7 96 2 5.51896 0.526298
8 96 2 6.20221 0.525183
9 96 2 6.88537 0.524394
10 96 2 7.5702 0.523896
11 96 2 8.25159 0.523538
12 96 2 8.9354 0.523222
13 96 2 9.61982 0.52293
14 96 2 10.3021 0.522577
15 96 2 10.9853 0.522277
16 96 2 11.6674 0.521976
17 96 2 12.3492 0.521717
18 96 2 13.0305 0.521483
19 96 2 13.7133 0.521238
20 96 2 14.3946 0.521047
21 96 2 15.0783 0.520908
22 96 2 15.7605 0.520816
23 96 2 16.4408 0.520749
24 96 2 17.1213 0.520662
25 96 2 17.804 0.520601
26 96 2 18.4879 0.520578
27 96 2 19.1705 0.520614
28 96 2 19.8522 0.52068
29 96 2 20.5324 0.520733
0 96 4 0.748171 0.523008
1 96 4 1.45486 0.519766
2 96 4 2.15935 0.51796
3 96 4 2.86665 0.516391
4 96 4 3.57577 0.515182
5 96 4 4.28106 0.514426
6 96 4 4.98723 0.513922
7 96 4 5.69487 0.513543
8 96 4 6.40124 0.513251
9 96 4 7.10428 0.513008
10 96 4 7.80848 0.512806
11 96 4 8.50882 0.512636
12 96 4 9.21861 0.512493
13 96 4 9.92091 0.51237
14 96 4 10.6252 0.512262
15 96 4 11.332 0.512168
16 96 4 12.0346 0.512084
17 96 4 12.7432 0.512008
18 96 4 13.4451 0.511937
19 96 4 14.1515 0.511869
20 96 4 14.8569 0.511807
21 96 4 15.5722 0.511749
22 96 4 16.2731 0.511695
23 96 4 16.9776 0.511645
24 96 4 17.6794 0.5116
25 96 4 18.3844 0.511559
26 96 4 19.085 0.511521
27 96 4 19.7901 0.511486
28 96 4 20.4948 0.511453
29 96 4 21.1991 0.511421
0 96 5 0.766908 0.527507
1 96 5 1.48767 0.527005
2 96 5 2.21184 0.526714
3 96 5 2.93035 0.526489
4 96 5 3.6484 0.526316
5 96 5 4.36098 0.526177
6 96 5 5.07556 0.526055
7 96 5 5.79594 0.525712
8 96 5 6.84972 0.525631
9 96 5 7.58375 0.525355
10 96 5 8.63335 0.525271
11 96 5 9.35597 0.524928
12 96 5 10.4023 0.52483
13 96 5 11.1243 0.524631
14 96 5 12.1819 0.524593
15 96 5 12.9126 0.524456
16 96 5 13.9661 0.524425
17 96 5 14.6886 0.524304
18 96 5 15.7418 0.524276
19 96 5 16.473 0.524169
20 96 5 17.5341 0.52412
21 96 5 18.2505 0.523959
22 96 5 19.3032 0.523913
23 96 5 20.0235 0.52376
24 96 5 21.0705 0.523729
25 96 5 21.7941 0.523663
26 96 5 22.8397 0.523651
