runs	algo	iter	totaltime	err	relerr
5	BPP	18	284.65	41346.7	0.839504
5	BPP	19	300.47	41332.2	0.83921
5	BPP	20	316.26	41316.5	0.838891
5	BPP	21	332.06	41302.6	0.838608
5	BPP	22	347.86	41291.7	0.838388
5	BPP	23	363.67	41283.4	0.838219
5	BPP	24	379.48	41276.6	0.83808
5	BPP	25	395.29	41270.4	0.837955
5	BPP	26	411.09	41264.8	0.837841
5	BPP	27	426.94	41260.1	0.837746
5	BPP	28	442.78	41256.5	0.837673
5	BPP	29	458.6	41253.8	0.837617
