iter	k	algo	totaltime	relerr	gpu
24	32	4	1.45469	0.921649	0
25	32	4	1.51881	0.921673	0
26	32	4	1.58139	0.921694	0
27	32	4	1.64173	0.921696	0
28	32	4	1.69917	0.921715	0
29	32	4	1.75588	0.921723	0
0	32	5	0.140299	0.921262	1
1	32	5	0.253905	0.920814	1
2	32	5	0.368907	0.921027	1
3	32	5	0.487848	0.921159	1
4	32	5	0.60155	0.921	1
5	32	5	0.713989	0.921122	1
6	32	5	0.843093	0.920945	1
7	32	5	0.955424	0.920972	1
8	32	5	1.07268	0.920949	1
9	32	5	1.18778	0.921033	1
10	32	5	1.30261	0.921131	1
11	32	5	1.41861	0.921276	1
12	32	5	1.53689	0.921289	1
13	32	5	1.65624	0.921311	1
14	32	5	1.76814	0.921355	1
15	32	5	1.88223	0.921367	1
16	32	5	1.99263	0.921408	1
17	32	5	2.10228	0.921415	1
18	32	5	2.21455	0.921408	1
19	32	5	2.32808	0.921511	1
20	32	5	2.43747	0.921514	1
21	32	5	2.549	0.921466	1
22	32	5	2.68122	0.921485	1
23	32	5	2.81953	0.921503	1
24	32	5	2.94514	0.921502	1
25	32	5	3.08635	0.921496	1
26	32	5	3.20478	0.921652	1
27	32	5	3.31556	0.921663	1
28	32	5	3.42958	0.921644	1
29	32	5	3.53907	0.921756	1
0	32	5	0.0655075	0.921262	0
1	32	5	0.124614	0.920814	0
2	32	5	0.181807	0.921027	0
3	32	5	0.238459	0.921159	0
4	32	5	0.300288	0.921	0
5	32	5	0.358323	0.921122	0
6	32	5	0.420644	0.920945	0
7	32	5	0.478809	0.920972	0
8	32	5	0.539686	0.920949	0
9	32	5	0.597959	0.921033	0
10	32	5	0.655163	0.921131	0
11	32	5	0.710955	0.921276	0
12	32	5	0.767788	0.921289	0
13	32	5	0.823706	0.921311	0
14	32	5	0.879992	0.921355	0
15	32	5	0.935982	0.921367	0
16	32	5	0.991959	0.921408	0
17	32	5	1.0496	0.921415	0
18	32	5	1.10925	0.921408	0
19	32	5	1.16702	0.921511	0
20	32	5	1.22286	0.921514	0
21	32	5	1.27833	0.921466	0
22	32	5	1.33752	0.921485	0
23	32	5	1.39294	0.921503	0
24	32	5	1.44712	0.921502	0
25	32	5	1.50143	0.921496	0
26	32	5	1.55678	0.921652	0
27	32	5	1.61407	0.921663	0
28	32	5	1.66875	0.921644	0
29	32	5	1.72427	0.921756	0
0	64	0	0.141562	0.922366	1
1	64	0	0.266482	0.922285	1
2	64	0	0.380932	0.922215	1
3	64	0	0.494065	0.922152	1
4	64	0	0.609734	0.922095	1
5	64	0	0.726213	0.922044	1
6	64	0	0.839389	0.921997	1
7	64	0	0.951614	0.921954	1
8	64	0	1.06485	0.921914	1
9	64	0	1.18331	0.921878	1
10	64	0	1.30283	0.921844	1
11	64	0	1.42188	0.921813	1
12	64	0	1.54002	0.921783	1
13	64	0	1.65777	0.921756	1
14	64	0	1.77566	0.92173	1
15	64	0	1.89002	0.921705	1
16	64	0	1.99953	0.921682	1
17	64	0	2.11543	0.92166	1
18	64	0	2.22652	0.921639	1
19	64	0	2.34699	0.921619	1
20	64	0	2.46265	0.9216	1
21	64	0	2.58026	0.921581	1
22	64	0	2.69829	0.921564	1
23	64	0	2.81808	0.921547	1
24	64	0	2.93543	0.921531	1
25	64	0	3.05262	0.921515	1
26	64	0	3.17059	0.9215	1
27	64	0	3.28836	0.921486	1
28	64	0	3.40802	0.921472	1
29	64	0	3.53239	0.921458	1
0	64	0	0.0989284	0.922366	0
1	64	0	0.188158	0.922285	0
2	64	0	0.275155	0.922215	0
3	64	0	0.363966	0.922152	0
4	64	0	0.451539	0.922095	0
5	64	0	0.538606	0.922044	0
6	64	0	0.625151	0.921997	0
7	64	0	0.712039	0.921954	0
8	64	0	0.798898	0.921914	0
9	64	0	0.88552	0.921878	0
10	64	0	0.974142	0.921844	0
11	64	0	1.0609	0.921813	0
12	64	0	1.15087	0.921783	0
13	64	0	1.23817	0.921756	0
14	64	0	1.32771	0.92173	0
15	64	0	1.4151	0.921705	0
16	64	0	1.50659	0.921682	0
17	64	0	1.59699	0.92166	0
18	64	0	1.68594	0.921639	0
19	64	0	1.7744	0.921619	0
20	64	0	1.86231	0.9216	0
21	64	0	1.94975	0.921581	0
22	64	0	2.03668	0.921564	0
23	64	0	2.12491	0.921547	0
24	64	0	2.21212	0.921531	0
25	64	0	2.30009	0.921515	0
26	64	0	2.38854	0.9215	0
27	64	0	2.47738	0.921486	0
28	64	0	2.56515	0.921472	0
29	64	0	2.65307	0.921458	0
0	64	1	0.148245	0.924146	1
1	64	1	0.275835	0.922589	1
2	64	1	0.401215	0.921856	1
3	64	1	0.522765	0.921546	1
4	64	1	0.652249	0.921388	1
5	64	1	0.775782	0.921288	1
6	64	1	0.90571	0.921218	1
7	64	1	1.03061	0.921172	1
8	64	1	1.15694	0.921142	1
9	64	1	1.27755	0.921117	1
10	64	1	1.40428	0.921095	1
11	64	1	1.52926	0.921077	1
12	64	1	1.65779	0.92106	1
13	64	1	1.78029	0.921046	1
14	64	1	1.91994	0.921034	1
15	64	1	2.05364	0.921024	1
16	64	1	2.17868	0.921015	1
17	64	1	2.30843	0.921007	1
