iter k algo time relerr
24 64 2 184.173 0.00662988
25 64 2 191.538 0.00476059
26 64 2 198.903 0.00344081
27 64 2 206.268 0.00265899
28 64 2 213.635 0.00223047
29 64 2 221.006 0.00198673
0 64 4 7.38487 0.100433
1 64 4 14.7743 0.074312
2 64 4 22.1631 0.0663709
3 64 4 29.5481 0.0632393
4 64 4 36.936 0.0614547
5 64 4 44.3278 0.0600564
6 64 4 51.7107 0.0587293
7 64 4 59.0937 0.0573378
8 64 4 66.4777 0.0558313
9 64 4 73.8694 0.0541864
10 64 4 81.2551 0.0523931
11 64 4 88.6422 0.05044
12 64 4 96.0278 0.048312
13 64 4 103.419 0.0459993
14 64 4 110.809 0.0435184
15 64 4 118.193 0.0409467
16 64 4 125.573 0.0383906
17 64 4 132.961 0.0359197
18 64 4 140.343 0.0335553
19 64 4 147.728 0.0312917
20 64 4 155.111 0.0291258
21 64 4 162.491 0.0270692
22 64 4 169.878 0.0251532
23 64 4 177.265 0.0234222
24 64 4 184.653 0.0219141
25 64 4 192.045 0.0206225
26 64 4 199.43 0.0194936
27 64 4 206.812 0.0184539
28 64 4 214.193 0.0174431
29 64 4 221.58 0.0164039
0 64 5 7.38666 0.109577
1 64 5 14.7712 0.0932679
2 64 5 22.1499 0.0741877
3 64 5 29.5154 0.0720617
4 64 5 36.8906 0.070611
5 64 5 44.2659 0.0701898
6 64 5 51.637 0.0698238
7 64 5 62.6845 0.069856
8 64 5 73.7347 0.0697551
9 64 5 84.7783 0.0695066
10 64 5 92.1524 0.0785918
11 64 5 103.201 0.0785918
12 64 5 110.577 0.0785918
13 64 5 121.618 0.0785918
14 64 5 132.656 0.0785918
15 64 5 143.692 0.0785918
16 64 5 154.733 0.0785918
17 64 5 165.781 0.0785918
18 64 5 176.819 0.0785918
19 64 5 187.859 0.0785918
20 64 5 198.9 0.0785918
21 64 5 209.942 0.0785918
22 64 5 221.005 0.0785918
23 64 5 232.053 0.0785918
24 64 5 243.101 0.0785918
25 64 5 254.143 0.0785918
26 64 5 265.183 0.0785918
27 64 5 276.225 0.0785918
28 64 5 287.27 0.0785918
29 64 5 298.314 0.0785918
0 64 6 7.38396 0.10761
1 64 6 14.7632 0.0989746
2 64 6 22.1284 0.0929666
3 64 6 29.4922 0.0898493
4 64 6 36.8561 0.0873392
5 64 6 44.2173 0.0852468
6 64 6 51.5783 0.0835296
7 64 6 58.9405 0.081946
8 64 6 66.3015 0.0803028
9 64 6 73.6684 0.0784998
10 64 6 81.0337 0.077002
11 64 6 88.397 0.0757323
12 64 6 95.7601 0.074493
13 64 6 103.124 0.0733953
14 64 6 110.49 0.0724959
15 64 6 117.855 0.0718536
16 64 6 125.221 0.071445
17 64 6 132.583 0.0711774
18 64 6 139.948 0.0709579
19 64 6 147.313 0.0707368
20 64 6 154.678 0.0706029
21 64 6 162.044 0.0705539
22 64 6 169.408 0.0705224
23 64 6 176.773 0.0702676
24 64 6 184.138 0.0699421
25 64 6 191.503 0.0696061
26 64 6 198.874 0.0693052
27 64 6 206.245 0.0689072
28 64 6 213.608 0.0685579
29 64 6 220.969 0.0683714
0 96 0 10.307 0.128766
1 96 0 20.6115 0.127333
2 96 0 30.9087 0.125992
3 96 0 41.2075 0.124734
4 96 0 51.5087 0.123548
5 96 0 61.8114 0.122431
6 96 0 72.1131 0.121374
7 96 0 82.415 0.120374
8 96 0 92.7314 0.119426
9 96 0 103.032 0.118525
10 96 0 113.332 0.117668
11 96 0 123.639 0.116851
12 96 0 133.94 0.116072
13 96 0 144.246 0.115328
14 96 0 154.556 0.114617
15 96 0 164.861 0.113935
16 96 0 175.164 0.113282
17 96 0 185.47 0.112656
18 96 0 195.768 0.112053
19 96 0 206.068 0.111474
20 96 0 216.369 0.110917
21 96 0 226.67 0.11038
22 96 0 236.976 0.109862
23 96 0 247.285 0.109362
24 96 0 257.585 0.10888
25 96 0 267.893 0.108413
26 96 0 278.197 0.107961
27 96 0 288.496 0.107524
28 96 0 298.804 0.1071
29 96 0 309.107 0.106689
0 96 1 10.3168 0.150825
1 96 1 20.6282 0.110753
2 96 1 30.9474 0.0895497
3 96 1 41.3048 0.0816857
4 96 1 51.6382 0.0772539
5 96 1 61.9844 0.0743109
6 96 1 72.3129 0.0712528
7 96 1 82.6431 0.0689361
8 96 1 92.9627 0.0673216
9 96 1 103.292 0.0660969
10 96 1 113.625 0.0650937
11 96 1 123.944 0.0642557
12 96 1 134.264 0.0635511
13 96 1 144.627 0.0629348
14 96 1 154.949 0.062378
15 96 1 165.299 0.0618675
16 96 1 175.62 0.0613983
17 96 1 185.955 0.0609623
18 96 1 196.289 0.0605528
19 96 1 206.629 0.0601634
20 96 1 216.971 0.0597932
21 96 1 227.305 0.0594415
22 96 1 237.639 0.0591073
23 96 1 247.964 0.058786
24 96 1 258.303 0.0584723
25 96 1 268.625 0.0581632
26 96 1 278.966 0.0578566
27 96 1 289.295 0.0575531
28 96 1 299.624 0.0572532
29 96 1 309.945 0.0569536
0 96 2 10.3061 0.147904
1 96 2 20.609 0.0648841
2 96 2 30.9115 0.0534646
3 96 2 41.2093 0.0510755
4 96 2 51.5066 0.0500186
5 96 2 61.8081 0.0491052
6 96 2 72.1039 0.0480999
7 96 2 82.3978 0.0469309
8 96 2 92.6932 0.0455427
9 96 2 102.988 0.043894
10 96 2 113.289 0.0419937
11 96 2 123.588 0.0399032
12 96 2 133.897 0.0376895
13 96 2 144.199 0.0353963
14 96 2 154.498 0.0330272
15 96 2 164.801 0.0305702
16 96 2 175.104 0.0280638
17 96 2 185.406 0.0256179
18 96 2 195.708 0.0233539
19 96 2 206.018 0.021351
20 96 2 216.316 0.0196425
21 96 2 226.616 0.0181683
22 96 2 236.919 0.0168045
23 96 2 247.217 0.0154179
24 96 2 257.518 0.0139337
25 96 2 267.824 0.0123715
26 96 2 278.125 0.0108362
27 96 2 288.427 0.00949634
28 96 2 298.727 0.00842777
29 96 2 309.026 0.00752158
0 96 4 10.3418 0.0800983
1 96 4 20.6948 0.0597192
2 96 4 31.0543 0.0541896
3 96 4 41.4303 0.0522077
4 96 4 51.7871 0.0511764
5 96 4 62.1642 0.0503965
6 96 4 72.5109 0.0496871
7 96 4 82.8642 0.0489701
8 96 4 93.2201 0.0481952
9 96 4 103.568 0.047323
10 96 4 113.928 0.04632
11 96 4 124.277 0.0451572
12 96 4 134.64 0.0438133
13 96 4 144.982 0.0422828
14 96 4 155.348 0.0405792
15 96 4 165.696 0.0387342
16 96 4 176.057 0.0368019
17 96 4 186.412 0.0348395
18 96 4 196.774 0.0329115
19 96 4 207.115 0.0310563
20 96 4 217.458 0.0292918
21 96 4 227.803 0.027603
22 96 4 238.151 0.0259763
23 96 4 248.491 0.024404
24 96 4 258.825 0.022858
25 96 4 269.173 0.021331
26 96 4 279.529 0.0198343
27 96 4 289.874 0.0183816
28 96 4 300.222 0.0170005
29 96 4 310.563 0.0157296
0 96 5 10.3506 0.0902848
1 96 5 20.6983 0.0817477
2 96 5 31.0425 0.0656549
3 96 5 41.3645 0.060424
4 96 5 51.6982 0.0581897
5 96 5 62.0395 0.0576038
6 96 5 72.372 0.0576303
7 96 5 87.8861 0.0573432
8 96 5 103.358 0.0573914
9 96 5 118.831 0.0573346
10 96 5 134.304 0.057538
11 96 5 149.789 0.057491
12 96 5 165.279 0.0573724
13 96 5 175.619 0.0575668
14 96 5 191.09 0.0622073
15 96 5 206.556 0.0622073
16 96 5 222.024 0.0622073
17 96 5 237.501 0.0622073
18 96 5 252.983 0.0622073
19 96 5 268.449 0.0622073
20 96 5 283.915 0.0622073
21 96 5 299.396 0.0622073
22 96 5 314.862 0.0622073
23 96 5 330.343 0.0622073
24 96 5 345.819 0.0622073
